CODE,YEAR,DISEASE_CODE,DENOMINATOR,INCIDENCE_RATE
MDG,1980,TTETANUS,"per 1,000,000 total population",93.5
MDG,1980,YFEVER,"per 1,000,000 total population",
MDV,2023,CRS,"per 10,000 live births",0.0
MDV,2023,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2023,INVASIVE_MENING,"per 1,000,000 total population",3.8
MDV,2023,JAPENC,"per 1,000,000 total population",0.0
MDV,2023,MEASLES,"per 1,000,000 total population",9.5
MDV,2023,MUMPS,"per 1,000,000 total population",0.0
MDV,2023,NTETANUS,"per 1,000 live births",0.0
MDV,2023,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2023,POLIO,"per 1,000,000 <15 population",
MDV,2023,RUBELLA,"per 1,000,000 total population",0.0
MDV,2023,TTETANUS,"per 1,000,000 total population",0.0
MDV,2023,TYPHOID,"per 1,000,000 total population",22.8
MDV,2023,YFEVER,"per 1,000,000 total population",0.0
MDV,2022,CRS,"per 10,000 live births",0.0
MDV,2022,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2022,INVASIVE_MENING,"per 1,000,000 total population",0.0
MDV,2022,JAPENC,"per 1,000,000 total population",0.0
MDV,2022,MEASLES,"per 1,000,000 total population",0.0
MDV,2022,MUMPS,"per 1,000,000 total population",0.0
MDV,2022,NTETANUS,"per 1,000 live births",0.0
MDV,2022,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2022,POLIO,"per 1,000,000 <15 population",
MDV,2022,RUBELLA,"per 1,000,000 total population",0.0
MDV,2022,TTETANUS,"per 1,000,000 total population",0.0
MDV,2022,TYPHOID,"per 1,000,000 total population",0.0
MDV,2022,YFEVER,"per 1,000,000 total population",0.0
MDV,2021,CRS,"per 10,000 live births",0.0
MDV,2021,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2021,INVASIVE_MENING,"per 1,000,000 total population",0.0
MDV,2021,JAPENC,"per 1,000,000 total population",0.0
MDV,2021,MEASLES,"per 1,000,000 total population",0.0
MDV,2021,MUMPS,"per 1,000,000 total population",0.0
MDV,2021,NTETANUS,"per 1,000 live births",0.0
MDV,2021,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2021,POLIO,"per 1,000,000 <15 population",0.0
MDV,2021,RUBELLA,"per 1,000,000 total population",0.0
MDV,2021,TTETANUS,"per 1,000,000 total population",0.0
MDV,2021,TYPHOID,"per 1,000,000 total population",0.0
MDV,2021,YFEVER,"per 1,000,000 total population",0.0
MDV,2020,CRS,"per 10,000 live births",
MDV,2020,DIPHTHERIA,"per 1,000,000 total population",
MDV,2020,INVASIVE_MENING,"per 1,000,000 total population",
MDV,2020,JAPENC,"per 1,000,000 total population",
MDV,2020,MEASLES,"per 1,000,000 total population",29.9
MDV,2020,MUMPS,"per 1,000,000 total population",4.0
MDV,2020,NTETANUS,"per 1,000 live births",
MDV,2020,PERTUSSIS,"per 1,000,000 total population",
MDV,2020,POLIO,"per 1,000,000 <15 population",0.0
MDV,2020,RUBELLA,"per 1,000,000 total population",2.0
MDV,2020,TTETANUS,"per 1,000,000 total population",
MDV,2020,TYPHOID,"per 1,000,000 total population",63.7
MDV,2020,YFEVER,"per 1,000,000 total population",
MDV,2019,CRS,"per 10,000 live births",0.0
MDV,2019,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2019,JAPENC,"per 1,000,000 total population",0.0
MDV,2019,MEASLES,"per 1,000,000 total population",0.0
MDV,2019,MUMPS,"per 1,000,000 total population",0.0
MDV,2019,NTETANUS,"per 1,000 live births",0.0
MDV,2019,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2019,POLIO,"per 1,000,000 <15 population",0.0
MDV,2019,RUBELLA,"per 1,000,000 total population",4.1
MDV,2019,TYPHOID,"per 1,000,000 total population",0.0
MDV,2019,YFEVER,"per 1,000,000 total population",0.0
MDV,2018,CRS,"per 10,000 live births",0.0
MDV,2018,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2018,JAPENC,"per 1,000,000 total population",0.0
MDV,2018,MEASLES,"per 1,000,000 total population",2.1
MDV,2018,MUMPS,"per 1,000,000 total population",0.0
MDV,2018,NTETANUS,"per 1,000 live births",0.0
MDV,2018,PERTUSSIS,"per 1,000,000 total population",2.1
MDV,2018,POLIO,"per 1,000,000 <15 population",0.0
MDV,2018,RUBELLA,"per 1,000,000 total population",0.0
MDV,2018,TTETANUS,"per 1,000,000 total population",0.0
MDV,2018,TYPHOID,"per 1,000,000 total population",0.0
MDV,2018,YFEVER,"per 1,000,000 total population",0.0
MDV,2017,CRS,"per 10,000 live births",0.0
MDV,2017,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2017,JAPENC,"per 1,000,000 total population",0.0
MDV,2017,MEASLES,"per 1,000,000 total population",2.2
MDV,2017,MUMPS,"per 1,000,000 total population",13.1
MDV,2017,NTETANUS,"per 1,000 live births",0.0
MDV,2017,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2017,POLIO,"per 1,000,000 <15 population",0.0
MDV,2017,RUBELLA,"per 1,000,000 total population",2.2
MDV,2017,TTETANUS,"per 1,000,000 total population",0.0
MDV,2017,YFEVER,"per 1,000,000 total population",0.0
MDV,2016,CRS,"per 10,000 live births",0.0
MDV,2016,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2016,JAPENC,"per 1,000,000 total population",0.0
MDV,2016,MEASLES,"per 1,000,000 total population",0.0
MDV,2016,MUMPS,"per 1,000,000 total population",0.0
MDV,2016,NTETANUS,"per 1,000 live births",0.0
MDV,2016,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2016,POLIO,"per 1,000,000 <15 population",0.0
MDV,2016,RUBELLA,"per 1,000,000 total population",0.0
MDV,2016,TTETANUS,"per 1,000,000 total population",0.0
MDV,2016,YFEVER,"per 1,000,000 total population",0.0
MDV,2015,CRS,"per 10,000 live births",0.0
MDV,2015,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2015,JAPENC,"per 1,000,000 total population",0.0
MDV,2015,MEASLES,"per 1,000,000 total population",0.0
MDV,2015,MUMPS,"per 1,000,000 total population",0.0
MDV,2015,NTETANUS,"per 1,000 live births",0.0
MDV,2015,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2015,POLIO,"per 1,000,000 <15 population",0.0
MDV,2015,RUBELLA,"per 1,000,000 total population",7.0
MDV,2015,TTETANUS,"per 1,000,000 total population",0.0
MDV,2015,YFEVER,"per 1,000,000 total population",0.0
MDV,2014,CRS,"per 10,000 live births",0.0
MDV,2014,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2014,JAPENC,"per 1,000,000 total population",0.0
MDV,2014,MEASLES,"per 1,000,000 total population",0.0
MDV,2014,MUMPS,"per 1,000,000 total population",0.0
MDV,2014,NTETANUS,"per 1,000 live births",0.0
MDV,2014,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2014,POLIO,"per 1,000,000 <15 population",0.0
MDV,2014,RUBELLA,"per 1,000,000 total population",0.0
MDV,2014,TTETANUS,"per 1,000,000 total population",0.0
MDV,2014,YFEVER,"per 1,000,000 total population",0.0
MDV,2013,CRS,"per 10,000 live births",0.0
MDV,2013,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2013,JAPENC,"per 1,000,000 total population",0.0
MDV,2013,MEASLES,"per 1,000,000 total population",0.0
MDV,2013,MUMPS,"per 1,000,000 total population",42.5
MDV,2013,NTETANUS,"per 1,000 live births",0.0
MDV,2013,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2013,POLIO,"per 1,000,000 <15 population",0.0
MDV,2013,RUBELLA,"per 1,000,000 total population",0.0
MDV,2013,TTETANUS,"per 1,000,000 total population",0.0
MDV,2013,YFEVER,"per 1,000,000 total population",0.0
MDV,2012,CRS,"per 10,000 live births",0.0
MDV,2012,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2012,JAPENC,"per 1,000,000 total population",0.0
MDV,2012,MEASLES,"per 1,000,000 total population",0.0
MDV,2012,MUMPS,"per 1,000,000 total population",36.2
MDV,2012,NTETANUS,"per 1,000 live births",0.0
MDV,2012,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2012,POLIO,"per 1,000,000 <15 population",0.0
MDV,2012,RUBELLA,"per 1,000,000 total population",0.0
MDV,2012,TTETANUS,"per 1,000,000 total population",0.0
MDV,2012,YFEVER,"per 1,000,000 total population",0.0
MDV,2011,CRS,"per 10,000 live births",0.0
MDV,2011,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2011,JAPENC,"per 1,000,000 total population",0.0
MDV,2011,MEASLES,"per 1,000,000 total population",0.0
MDV,2011,MUMPS,"per 1,000,000 total population",184.7
MDV,2011,NTETANUS,"per 1,000 live births",0.0
MDV,2011,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2011,POLIO,"per 1,000,000 <15 population",0.0
MDV,2011,RUBELLA,"per 1,000,000 total population",2.7
MDV,2011,TTETANUS,"per 1,000,000 total population",8.0
MDV,2011,YFEVER,"per 1,000,000 total population",0.0
MDV,2010,CRS,"per 10,000 live births",0.0
MDV,2010,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2010,JAPENC,"per 1,000,000 total population",0.0
MDV,2010,MEASLES,"per 1,000,000 total population",0.0
MDV,2010,MUMPS,"per 1,000,000 total population",138.6
MDV,2010,NTETANUS,"per 1,000 live births",0.0
MDV,2010,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2010,POLIO,"per 1,000,000 <15 population",0.0
MDV,2010,RUBELLA,"per 1,000,000 total population",11.1
MDV,2010,TTETANUS,"per 1,000,000 total population",0.0
MDV,2010,YFEVER,"per 1,000,000 total population",0.0
MDV,2009,CRS,"per 10,000 live births",0.0
MDV,2009,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2009,JAPENC,"per 1,000,000 total population",0.0
MDV,2009,MEASLES,"per 1,000,000 total population",17.2
MDV,2009,MUMPS,"per 1,000,000 total population",203.9
MDV,2009,NTETANUS,"per 1,000 live births",0.0
MDV,2009,PERTUSSIS,"per 1,000,000 total population",0.0
MDV,2009,POLIO,"per 1,000,000 <15 population",0.0
MDV,2009,RUBELLA,"per 1,000,000 total population",0.0
MDV,2009,TTETANUS,"per 1,000,000 total population",0.0
MDV,2009,YFEVER,"per 1,000,000 total population",0.0
MDV,2008,CRS,"per 10,000 live births",
MDV,2008,DIPHTHERIA,"per 1,000,000 total population",0.0
MDV,2008,JAPENC,"per 1,000,000 total population",
MDV,2008,MEASLES,"per 1,000,000 total population",0.0
MDV,2008,MUMPS,"per 1,000,000 total population",339.1
MDV,2008,NTETANUS,"per 1,000 live births",0.0
